"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"NAME"
"Chartered banks: Classification of non-mortgage loans - Canadian dollar loans"

"DESCRIPTION"
"Quarter-end, Millions of dollars"

"LINK"
"https://www.bankofcanada.ca/?p=196856"

"SERIES"
"id","label","description"
"V37751","Loans to Canadian individuals for non-business purposes","Canadian dollar loans"
"V37760","Tax-sheltered plans","Canadian dollar loans - Loans to Canadian individuals for non-business purposes - To purchase (or carry) securities"
"V37759","Market stocks and bonds","Canadian dollar loans - Loans to Canadian individuals for non-business purposes - To purchase (or carry) securities"
"V37752","To purchase consumer goods and other personal services","Canadian dollar loans - Loans to Canadian individuals for non-business purposes"
"V37755","Private passenger vehicles","Canadian dollar loans - Loans to Canadian individuals for non-business purposes - To purchase consumer goods and other personal services"
"V37756","Mobile homes","Canadian dollar loans - Loans to Canadian individuals for non-business purposes - To purchase consumer goods and other personal services"
"V37757","Renovations of residential property","Canadian dollar loans - Loans to Canadian individuals for non-business purposes - To purchase consumer goods and other personal services"
"V37758","Other","Canadian dollar loans - Loans to Canadian individuals for non-business purposes - To purchase consumer goods and other personal services"
"V37754","Total excluding credit cards","Canadian dollar loans - Loans to Canadian individuals for non-business purposes - To purchase consumer goods and other personal services"
"V37753","Credit cards","Canadian dollar loans - Loans to Canadian individuals for non-business purposes - To purchase consumer goods and other personal services"
"V120573153","Loans to other Canadians","Canadian dollar loans"
"V120573152","Financial institutions","Canadian dollar loans - Loans to other Canadians"
"V37748","Deposit-taking institutions","Canadian dollar loans - Loans to other Canadians - Financial institutions"
"V37749","Investment dealers","Canadian dollar loans - Loans to other Canadians - Financial institutions"
"V37750","Other","Canadian dollar loans - Loans to other Canadians - Financial institutions"
"V37769","Non-financial corporations and unincorporated businesses","Canadian dollar loans - Loans to other Canadians"
"V37772","Private businesses","Canadian dollar loans - Loans to other Canadians - Non-financial corporations and unincorporated businesses"
"V37786","Agriculture","Canadian dollar loans - Loans to other Canadians - Non-financial corporations and unincorporated businesses - Private businesses"
"V37785","Fishing and trapping","Canadian dollar loans - Loans to other Canadians - Non-financial corporations and unincorporated businesses - Private businesses"
"V37784","Logging and forestry","Canadian dollar loans - Loans to other Canadians - Non-financial corporations and unincorporated businesses - Private businesses"
"V37781","Mining","Canadian dollar loans - Loans to other Canadians - Non-financial corporations and unincorporated businesses - Private businesses - Mining, quarries, and oil wells"
"V37782","Oil and gas","Canadian dollar loans - Loans to other Canadians - Non-financial corporations and unincorporated businesses - Private businesses - Mining, quarries, and oil wells"
"V37783","Other","Canadian dollar loans - Loans to other Canadians - Non-financial corporations and unincorporated businesses - Private businesses - Mining, quarries, and oil wells"
"V37774","Manufacturing","Canadian dollar loans - Loans to other Canadians - Non-financial corporations and unincorporated businesses - Private businesses"
"V37775","Food, beverage and tobacco","Canadian dollar loans - Loans to other Canadians - Non-financial corporations and unincorporated businesses - Private businesses - Manufacturing"
"V37776","Leather, textile and apparel","Canadian dollar loans - Loans to other Canadians - Non-financial corporations and unincorporated businesses - Private businesses - Manufacturing"
"V37777","Metal products","Canadian dollar loans - Loans to other Canadians - Non-financial corporations and unincorporated businesses - Private businesses - Manufacturing"
"V37778","Transportation equipment","Canadian dollar loans - Loans to other Canadians - Non-financial corporations and unincorporated businesses - Private businesses - Manufacturing"
"V37779","Petroleum products","Canadian dollar loans - Loans to other Canadians - Non-financial corporations and unincorporated businesses - Private businesses - Manufacturing"
"V37780","Other","Canadian dollar loans - Loans to other Canadians - Non-financial corporations and unincorporated businesses - Private businesses - Manufacturing"
"V37793","Builders and developers","Canadian dollar loans - Loans to other Canadians - Non-financial corporations and unincorporated businesses - Private businesses - Construction / Real estate"
"V37787","Real estate","Canadian dollar loans - Loans to other Canadians - Non-financial corporations and unincorporated businesses - Private businesses - Construction / Real estate"
"V37794","Other","Canadian dollar loans - Loans to other Canadians - Non-financial corporations and unincorporated businesses - Private businesses - Construction / Real estate"
"V37803","Of which: Interim construction lending","Canadian dollar loans - Loans to other Canadians - Non-financial corporations and unincorporated businesses - Private businesses - Construction / Real estate"
"V37792","Transportation, communication and other utilities","Canadian dollar loans - Loans to other Canadians - Non-financial corporations and unincorporated businesses - Private businesses"
"V37791","Wholesale trade","Canadian dollar loans - Loans to other Canadians - Non-financial corporations and unincorporated businesses - Private businesses"
"V37789","Automotive","Canadian dollar loans - Loans to other Canadians - Non-financial corporations and unincorporated businesses - Private businesses - Retail trade"
"V37790","Other","Canadian dollar loans - Loans to other Canadians - Non-financial corporations and unincorporated businesses - Private businesses - Retail trade"
"V37788","Service industries","Canadian dollar loans - Loans to other Canadians - Non-financial corporations and unincorporated businesses - Private businesses"
"V37773","Multi-product conglomerates","Canadian dollar loans - Loans to other Canadians - Non-financial corporations and unincorporated businesses - Private businesses"
"V37798","Of which: Unincorporated businesses","Canadian dollar loans - Loans to other Canadians - Non-financial corporations and unincorporated businesses - Private businesses"
"V37795","Government enterprises","Canadian dollar loans - Loans to other Canadians - Non-financial corporations and unincorporated businesses"
"V37767","Canadian government","Canadian dollar loans - Loans to other Canadians"
"V37768","Institutions","Canadian dollar loans - Loans to other Canadians"
"V37766","Loans to non-residents","Canadian dollar loans"
"V37765","Leasing receivables","Canadian dollar loans"
"V37762","Own acceptances purchased","Canadian dollar loans"
"V37761","Investment dealers subsidiaries","Canadian dollar loans"
"V37763","Reverse repos","Canadian dollar loans"
"V37746","Total Canadian dollar loans","Canadian dollar loans"
"V37799","Small business loans","Canadian dollar loans - Of which: Loans made under Government of Canada guaranteed loans schemes"
"V37800","Farm improvement loans","Canadian dollar loans - Of which: Loans made under Government of Canada guaranteed loans schemes"
"V37801","Canadian student loans","Canadian dollar loans - Of which: Loans made under Government of Canada guaranteed loans schemes"
"V37802","Other","Canadian dollar loans - Of which: Loans made under Government of Canada guaranteed loans schemes"

"OBSERVATIONS"
"date","V37751","V37760","V37759","V37752","V37755","V37756","V37757","V37758","V37754","V37753","V120573153","V120573152","V37748","V37749","V37750","V37769","V37772","V37786","V37785","V37784","V37781","V37782","V37783","V37774","V37775","V37776","V37777","V37778","V37779","V37780","V37793","V37787","V37794","V37803","V37792","V37791","V37789","V37790","V37788","V37773","V37798","V37795","V37767","V37768","V37766","V37765","V37762","V37761","V37763","V37746","V37799","V37800","V37801","V37802"
"1981Q4","32763","356","2207","30200","6091","993","1065","18501","26651","3549","93270","10328","641","2509","7178","78276","76554","7261","284","1152","2205","5704","2029","16065","1753","1141","2362","2117","1329","7364","5821","3932","6001","","5076","5861","2128","4270","8252","514","7708","1722","2955","1711","1458","2099","","","","129742","787","496","814","81"
"1982Q1","31961","380","1785","29797","5671","927","818","18964","26380","3417","94861","9197","618","1390","7189","81078","78321","7242","277","1205","1763","5860","1723","16876","1647","1249","2444","2456","1174","7906","6536","3364","6360","","5312","6365","2234","4662","8034","506","7754","2757","2753","1833","2639","2501","","","","132161","781","467","807","71"
"1982Q2","31961","349","1420","30191","5616","910","790","19367","26683","3509","94669","9376","715","1695","6966","81168","78472","7366","342","1019","1734","6161","1988","15946","1580","1257","2595","1599","1367","7549","6520","3557","6657","","5152","6126","2103","4746","8504","552","8701","2696","2364","1761","2579","2544","","","","131914","830","471","792","61"
"1982Q3","31563","301","1120","30142","5400","901","750","19397","26448","3693","94643","8816","790","1519","6507","81986","78664","7456","326","1051","2117","6903","1649","14830","1621","1220","2344","1436","1020","7189","7124","3393","6471","","5496","6131","1981","4739","8319","676","9382","3322","2156","1685","2782","2383","","","","131619","879","487","990","66"
"1982Q4","32218","302","1989","29927","4984","852","715","19624","26174","3753","92382","9071","662","2425","5984","79015","75921","7572","384","1112","1959","7419","1552","13306","1636","939","2155","941","785","6849","6743","3356","6421","","5659","5497","1974","4085","8216","666","7679","3094","2640","1656","2505","2575","","","","129797","896","500","957","67"
"1983Q1","31097","373","1617","29107","4682","793","644","19539","25658","3449","91474","10137","894","3256","5987","77176","74044","7305","376","1040","1618","7281","852","13085","1422","1010","2188","949","948","6568","6789","3386","6423","","5671","5557","1994","3934","8143","591","7585","3132","2372","1789","2544","2529","","","","127787","920","486","954","63"
"1983Q2","31998","327","1339","30332","4769","750","615","20638","26772","3561","87158","9336","669","2806","5861","74488","71606","7694","384","1050","1440","7092","911","11993","1386","1096","1984","745","851","5931","6494","3297","6428","","4987","5563","1767","3966","7878","662","7922","2882","1621","1713","2685","2469","","","","124482","995","504","934","70"
"1983Q3","31733","297","1143","30293","5170","739","642","20064","26615","3677","83313","8504","714","1789","6001","71762","69626","7870","409","945","1233","6654","852","12283","1333","1081","2014","690","836","6329","6096","3104","6371","","4879","4931","1606","3837","7834","723","7724","2136","1177","1870","2971","2358","","","","120620","1052","509","1028","66"
"1983Q4","33279","338","2149","30792","5350","713","656","20102","26820","3972","81858","7586","581","1179","5826","70709","68570","7713","394","834","1313","7156","793","11834","1416","1005","1874","709","885","5945","5871","3237","6056","","4845","4629","1796","3575","7750","773","7706","2140","1657","1906","3022","2389","","","","120761","1142","528","1181","64"
"1984Q1","33233","437","1740","31056","5661","684","595","20300","27240","3817","83833","7715","635","1457","5623","72560","69531","7424","394","819","1189","6709","864","12004","1374","1140","1896","710","847","6037","5941","3119","6044","","4810","5385","2022","4081","7949","776","8534","3030","1808","1750","3543","2352","","","","123136","1202","534","1195","64"
"1984Q2","33722","377","1355","31990","6174","660","641","20563","28037","3953","83967","7870","872","1421","5577","72885","70126","7651","406","804","1195","6589","794","12714","1396","1188","2001","808","889","6432","5709","3187","6016","","4417","5266","2012","4399","8256","711","8465","2760","1408","1804","3967","2428","","","","124228","1296","499","1194","64"
"1984Q3","33997","336","1031","32630","6490","639","655","20556","28340","4290","84739","7807","1028","1051","5728","74375","71738","7618","382","962","1322","7175","865","13482","1514","1387","2138","821","720","6902","5560","3135","5964","","4502","5518","1970","4394","8399","489","8092","2637","877","1680","4678","2368","","","","126048","1347","487","1391","61"
"1984Q4","36227","377","2177","33672","6696","613","710","20988","29007","4664","86210","8585","1269","1671","5645","74773","72254","7736","303","1049","1318","7773","875","13580","1540","1172","2296","833","650","7088","5952","3192","5176","","4748","5373","2221","3894","8580","483","7689","2519","1118","1734","3714","2406","","","","128774","1420","475","1534","61"
"1985Q1","36194","490","1615","34089","6959","593","635","21416","29603","4486","88068","8040","1044","1409","5587","76938","73180","7330","264","1097","1123","7440","864","14080","1443","1301","2191","822","897","7426","5932","3252","5185","","4523","5851","2468","4508","8666","596","7993","3758","1423","1667","4568","2469","","","","131459","1495","452","1554","61"
"1985Q2","37040","428","1268","35345","7463","578","669","22001","30711","4634","88772","8553","1035","2004","5514","77287","73785","7727","299","1023","966","7380","927","13956","1539","1304","2303","737","653","7421","5896","3376","5066","","4546","5927","2439","4638","8963","656","8525","3502","1113","1819","4534","2595","","","","133100","1468","462","1518","60"
"1985Q3","38354","423","1004","36926","7856","595","700","22911","32063","4863","88084","10253","1363","3395","5495","75036","71485","7784","209","916","841","7410","813","12958","1466","1274","1946","698","604","6969","5438","3520","5220","","4054","5658","2380","4577","9021","687","8405","3551","1040","1755","4574","2631","","","","133803","1427","467","1641","48"
"1985Q4","40566","489","2219","37859","8023","575","710","23370","32679","5180","87114","8782","1224","1522","6036","75243","71944","7796","203","938","810","7660","866","13267","1560","1090","1828","774","684","7331","5079","3505","4984","","4150","5662","2744","4292","9245","745","8525","3299","1187","1902","4143","2678","","","","134640","1458","461","1814","44"
"1986Q1","40244","642","1818","37783","7989","629","709","23428","32754","5029","98087","9356","1126","2114","6116","84692","81423","7278","204","1163","1184","9017","1124","16697","1653","1366","2364","904","1095","9316","5238","3602","4982","","4606","6889","3061","5439","10031","909","8768","3269","1824","2215","4258","2743","","","","145464","1418","407","1805","46"
"1986Q2","41571","587","1376","39608","8580","571","797","24464","34413","5195","86656","8553","1119","2034","5400","74896","73082","7361","198","887","902","7056","810","13588","1523","1300","2114","789","526","7335","4860","3385","4841","","3970","6314","3179","4852","10321","558","8366","1813","1192","2015","4477","2752","","","","135585","1399","399","1747","47"
"1986Q3","42492","535","1024","40933","8848","576","840","25192","35455","5477","85952","8456","899","1986","5571","74540","72951","7529","215","841","1139","7041","715","13456","1516","1327","2103","813","505","7190","4712","3470","5032","","3956","6158","2969","4990","10121","608","8623","1589","915","2041","4164","2767","","","","135480","1324","409","1954","67"
"1986Q4","43434","551","1080","41803","8884","572","1071","25415","35941","5862","84396","9530","598","3039","5893","71710","70025","7582","222","782","1035","6214","703","12870","1520","1166","1895","909","431","6950","4161","3487","4673","","4072","5829","3371","4523","9970","530","8193","1686","1100","2056","3760","2760","","","","134457","1291","382","2013","57"
